year,column,observed,total,percent
2012,CURIO,0,25313,0.0
2015,CURIO,0,6736,0.0
2018,CURIO,0,35943,0.0
2022,CURIO,0,30800,0.0
2025,CURIO,25136,29966,83.88
2000,ENPROBS,0,6214,0.0
2003,ENPROBS,0,10791,0.0
2006,ENPROBS,0,19604,0.0
2009,ENPROBS,0,25887,0.0
2012,ENPROBS,0,25313,0.0
2015,ENPROBS,0,6736,0.0
2018,ENPROBS,0,35943,0.0
2022,ENPROBS,0,30800,0.0
2025,ENPROBS,25108,29966,83.79
2000,COGABIL,0,6214,0.0
2003,COGABIL,0,10791,0.0
2006,COGABIL,0,19604,0.0
2009,COGABIL,0,25887,0.0
2012,COGABIL,0,25313,0.0
2015,COGABIL,0,6736,0.0
2018,COGABIL,0,35943,0.0
2022,COGABIL,0,30800,0.0
2025,COGABIL,24343,29966,81.24
2000,GOALSET,0,6214,0.0
2003,GOALSET,0,10791,0.0
2006,GOALSET,0,19604,0.0
2009,GOALSET,0,25887,0.0
2012,GOALSET,0,25313,0.0
2015,GOALSET,0,6736,0.0
2018,GOALSET,0,35943,0.0
2022,GOALSET,0,30800,0.0
2025,GOALSET,24481,29966,81.7
2000,SELFREG,0,6214,0.0
2003,SELFREG,0,10791,0.0
2006,SELFREG,0,19604,0.0
2009,SELFREG,0,25887,0.0
2012,SELFREG,0,25313,0.0
2015,SELFREG,0,6736,0.0
2018,SELFREG,0,35943,0.0
2022,SELFREG,0,30800,0.0
2025,SELFREG,24492,29966,81.73
2000,DIGINTLRN,0,6214,0.0
2003,DIGINTLRN,0,10791,0.0
2006,DIGINTLRN,0,19604,0.0
2009,DIGINTLRN,0,25887,0.0
2012,DIGINTLRN,0,25313,0.0
2015,DIGINTLRN,0,6736,0.0
2018,DIGINTLRN,0,35943,0.0
2022,DIGINTLRN,0,30800,0.0
2025,DIGINTLRN,22563,29966,75.3
2000,INTICT,0,6214,0.0
2003,INTICT,0,10791,0.0
2006,INTICT,0,19604,0.0
2009,INTICT,0,25887,0.0
2012,INTICT,0,25313,0.0
2015,INTICT,0,6736,0.0
2018,INTICT,0,35943,0.0
2022,INTICT,0,30800,0.0
2025,INTICT,22522,29966,75.16
2000,FEELSAFE,0,6214,0.0
2003,FEELSAFE,0,10791,0.0
2006,FEELSAFE,0,19604,0.0
2009,FEELSAFE,0,25887,0.0
2012,FEELSAFE,0,25313,0.0
2015,FEELSAFE,0,6736,0.0
2018,FEELSAFE,0,35943,0.0
2022,FEELSAFE,0,30800,0.0
2025,FEELSAFE,28601,29966,95.44
2000,TEACHSUP_2022,0,6214,0.0
2003,TEACHSUP_2022,0,10791,0.0
2006,TEACHSUP_2022,0,19604,0.0
2009,TEACHSUP_2022,0,25887,0.0
2012,TEACHSUP_2022,0,25313,0.0
2015,TEACHSUP_2022,0,6736,0.0
2018,TEACHSUP_2022,0,35943,0.0
2022,TEACHSUP_2022,28782,30800,93.45
2025,TEACHSUP_2022,0,29966,0.0
2000,TEACHSUP_2025,0,6214,0.0
2003,TEACHSUP_2025,0,10791,0.0
2006,TEACHSUP_2025,0,19604,0.0
2009,TEACHSUP_2025,0,25887,0.0
2012,TEACHSUP_2025,0,25313,0.0
