columna,2000,2003,2006,2012,2015,2018,2022,2025
W_FSTURWT63,,,,,si,si,si,si
W_FSTURWT64,,,,,si,si,si,si
W_FSTURWT65,,,,,si,si,si,si
W_FSTURWT66,,,,,si,si,si,si
W_FSTURWT67,,,,,si,si,si,si
W_FSTURWT68,,,,,si,si,si,si
W_FSTURWT69,,,,,si,si,si,si
W_FSTURWT7,,,,,si,si,si,si
W_FSTURWT70,,,,,si,si,si,si
W_FSTURWT71,,,,,si,si,si,si
W_FSTURWT72,,,,,si,si,si,si
W_FSTURWT73,,,,,si,si,si,si
W_FSTURWT74,,,,,si,si,si,si
W_FSTURWT75,,,,,si,si,si,si
W_FSTURWT76,,,,,si,si,si,si
W_FSTURWT77,,,,,si,si,si,si
W_FSTURWT78,,,,,si,si,si,si
W_FSTURWT79,,,,,si,si,si,si
W_FSTURWT8,,,,,si,si,si,si
W_FSTURWT80,,,,,si,si,si,si
W_FSTURWT9,,,,,si,si,si,si
W_FSTUWT,si,si,si,si,si,si,si,si
cen_admision_expediente,si,si,si,si,si,si,si,si
cen_alumnos,si,si,si,si,si,si,si,si
cen_alumnos_pisa,si,si,si,si,si,si,si,si
cen_autonomia,si,si,si,si,si,si,si,si
cen_competencia,si,si,si,si,si,si,si,si
cen_comunidad,si,si,si,si,si,si,si,si
cen_escasez_material,si,si,si,si,si,si,si,si
cen_escasez_personal,si,si,si,si,si,si,si,si
cen_escs_media,si,si,si,si,si,si,si,si
cen_fin_cuotas_pct,si,si,si,si,si,si,si,si
cen_fin_gobierno_pct,si,si,si,si,si,si,si,si
cen_liderazgo_educativo,si,si,si,si,si,si,si,si
cen_liderazgo_instruccional,si,si,si,si,si,si,si,si
cen_ordenadores_alumno,si,si,si,si,si,si,si,si
cen_padres_inmigrantes_pct,si,si,si,si,si,si,si,si
cen_participacion_prof,si,si,si,si,si,si,si,si
cen_pct_inmigrantes,si,si,si,si,si,si,si,si
cen_pct_repetidores,si,si,si,si,si,si,si,si
cen_profesorado_certificado,si,si,si,si,si,si,si,si
cen_publico,si,si,si,si,si,si,si,si
cen_stratio,si,si,si,si,si,si,si,si
cen_tipo,si,si,si,si,si,si,si,si
educacion_familiar,si,si,si,si,si,si,si,si
fila_origen,si,si,si,si,si,si,si,si
lengua_casa,,,,,si,si,si,si
math_exploracion,si,si,si,si,si,si,si,si
nivel_socioeconomico,si,si,si,si,si,si,si,si
numero_pv_math,si,si,si,si,si,si,si,si
numero_pv_read,si,si,si,si,si,si,si,si
numero_pv_scie,si,si,si,si,si,si,si,si
origen,si,si,si,si,si,si,si,si
pais,si,si,si,si,si,si,si,si
pisa_year,si,si,si,si,si,si,si,si
read_exploracion,si,si,si,si,si,si,si,si
repeticion,si,,si,si,si,si,si,si
scie_exploracion,si,si,si,si,si,si,si,si
sexo,si,si,si,si,si,si,si,si
